Review,Rating
"The gifting option with certain wish in the app is useless. I have ordered food, such as birthday cakes, anniversary cakes etc, as gift, so many times with wishes, by providing contact in the mentioned criteria. No message or wishes reach that perticular contact. Useless option. Either Remove the option or try to reach the msg to the perticular contact.",3
"Time and energy wasting, while the concept is supposed to make things smoother. The hidden taxes that are added up on the app last minute but not on the menu (and not in the restaurants when we dine in, while Zomato claims it is at the discretion of the restaurant) makes it a violation of the UAE law.",1
"If it was just once or twice, I would just let it slide but for the past few times that I've ordered, customer service has been pathetic. Even their Zomato chat is just a blank screen, so how are we supposed to even contact in case of a wrong delivery? Will uninstall Zomato for the time being since it really has disappointed me. It's a shame because Zomato used to be my favourite app to order food and find new restaurants around.",1
"Amazing app, with fast delivery services. I also absolutely love the fact that they compensate for any lapse in the quality of food/service. Would definitely recommend.",5
"There is no option for cancellation. when we chat with expert for cancellation the order,the expert take too much time,and delivery comes to home and we have no option except accepting the order. This happened to me but there was no fault of the delivery boy in this. If I do not take delivery then he would have problem, so I have to accept delivery. I will never order from ZOMATO after this.",1
Delivery service is horrible very ...horrible . I don't really understand why do you accept orders from locations where you don't deliver .After the order is confirmed and it's on it's way to be delivered the deliveryman calls and says that they don't deliver in these areas and wants me to collect the order from a place prescribed by him ....I WAS SOOOO ANGRY THAT I TOLD HIM TO COME TO MY HOUSE FOR DELIVERY.But he just went back without delivering ..it was very DISAPPOINTING,1
I typically have no issue with the app in general but I've had several bad experiences with poor customer service with their support chat. On numerous occasions when I try to have them resolve an issue they claim that they can't get ahold of the restaurant. Today I called the restaurant in question directly and they answered right away and were happy to resolve it. I 100% believe the customer support just couldn't be bothered to handle the issue.,2
"My review for Zomato has changed, on times it is going good and it's better than any other food app especially compared to doggy fresh menu, as I am a regular user of these two apps. Zomato is started valuing it's customers. I really appreciate each and every staff of this company serving for your customer. Great app and great support.",5
When I want something to eat I would expect it to arrive and if there's something wrong with the delivery (i.e) if the food is not available I would want to buy something for the same money because. Hungry so when the customer service says that there is only refund it's frustrating as I'm hungry. What will I do when I don't have money to make another order. I hate this so much about Zomato even through the app is good. Please do some changes in the customer service.,1
"My experience with Zomato has been consistently pathetic and their go-to solution for all issues being coupons for future orders is equally disappointing. No matter whatever the city, Zomato doesn't fail to let one down with wrong order or many hours delayed deliveries. If you guys are not committed to serving your customers right, please don't bother running the service and wasting people's time. Very very disappointing service. I know this is supposed to be app review but it's just so bad.",1
"Where to start 500 letters is not enough to describe such long history of bad experience, but I can conclude it with 3 main points: 1. Consistent delays from drivers. 2. There is no refund, If you will get your order canceled refund will never hit your bank account 3. No customer service at all, 1 instance I got delays from driver of 22 mins, the guy on customer service was telling me is only 22 mins of delay, but he is right 22 mins is genesis record for zomato, cz delays can be up to 1 hour",1
"K so the service is terrible. I've been using Zomato for more than a year now. The tracking option doesn't work. The delivery boys have messed up with the location most of the time. The timer you guys show that how much time is left until order arrives is also broken. It shows order will arrive within 30-40 mins but arrives after more than 70 mins. The service is just getting worse. Even after telling the location thousand times on phone, they either get lost or go to the wrong house. Plz fix it",1
"App is well. Delivery is also fast. But the reason to give only 2 stars is, delivery charges are high and there is high difference between the hotel rates and zomato rates. Zomato is charging higher rates than hotel. I observed this because I've been to some of the hotels and tried to order later on Zomato.",2
"Avoid it. If your food is not edible after complaint they tell they will respond in 24 hours, after 24 hours they send a mail saying they are sorry & tell that they will try to correct it next time. Total looters. Uninstalling. It's not good for health as well. They don't take responsibility of the food being delivered they just need money.",1
"my address and location was se t to Basavanagudi, Bangalore. I searched for the restaurant ""by 2 coffee"". there is one near by place. but the order got placed with the one in Vijayanagar, about 10 kms from my place. I think your app did not pickup my location to show the restaurant near me. Also, after entering the feedback in the app, I don't see a submit button. please fix your app.",2
"Zomato is already charging delivery charge upon that it charges additional surge charges, and at times with some more additional taxes and charges. Any how prices of the food on the app are way higher compared to the price at that particular restaurant listed here, upon that additional charges and taxes are charged. For an order that's only ₹.140/- worth they charge ₹.40/- as deliver and additional ₹.45/- more as surge charge, seriously disappointing, ripping the customers pocket.",1
"Very nice app helps you order food from any place almost instantly but my problem with the app was it does not allow you to make 2 orders which are both COD,you will have to pay for the second order online. Otherwise everything with this app is fine",4
"Horrible service. The moment you will face an issue with he delivery, there will be no help from their side. I had a problem with the delivery from one restaurant twice, the driver was not assigned even after chatting with zomato representative. I waited for more than an hour and had to cancel the order both times. The customer support is useless, they will be sending you their standard drafted responses and will not even try to help.",1
"Good app to order food. Though it would help if all the dishes had photos of it, so we know what it looks like. Some restaurants do keep it but some dont. Also, if we could make some suggestions for the dishes we order would also be of great help, e.g. if a dish contains mushrooms and we dont want it we can just add that suggestion..etc.",5
"Soo many options to choose from. The Interface is extremely user friendly with easy search and navigation. Offers aren't as good as with swiggy, but once you get gold, your savings literally goes through the roof like literally today I ordered for about 1320₹ and only needed to pay about 850₹.... My only qualm is that there is no way for you to get info about the portion of curry or food and you sometime feel as if you don't get the portion corresponding to the amount you paid. (Happened once)",4
Distinguished app and it's service . They show different thing and delivery exactly different. And after that they do not accept their mistake. And also shopkeeper are rude and with that delivery boy is very rude and they charge extra for no reason. Its better not to go for it. And they don't have customer care no. Through which we can reach to them .it's really disappointed for us.,1
"3 consecutive day order is been delivered in 1 hour and 1 or half hour, where else the estimate shows while ordering is way more less. Funny part is when we tend to connect to the contact centre, there's an automated chat bot where in we cannot log a complain, just providing the offer code does not resolve the issue.",1
Dear zomato.. Your delivery time is bad.. It gets worse when you try to change the times on the fly.. 12.05+54min delivery time is12.59 not 1:09... Just because you cant provide delivery person for half an hour doesnt mean you can change timings mentioned...everytime i think about trying your service you find new ways to piss me off.. Last time.. It was.. Different delivery charges for the same order for two people sitting in the same room.. And now this..,1
"worst service. doesn't take correct gps neither they consider the extra info given by any customer in optional. The delivery boy reaches to any other destination and ask for extra money to reach to your correct address(to which I don't blame delivery boy). Just one last thing, poor service and app quality.",1
Only means to dilute profit and sell. They do not have enough time to listen to the standard and compliments of the customer who is ordering.Neither do they have any customer care facility so that people can call and talk and tell about their problems. They have only chat option which working on automated and feed replies.,1
"Food is good no doubt. BUT I usually order 2 Thai crunch salads and always put a note or cooking instructions ""plz make one of the salad vegetarian, replace chicken with avocado and keep other as it is."" but for some reason they can't get it right or they don't understand, once in every 2 orders they send it wrong, either both vegetarian or both non vegetarian.",4
"I am very much disappointed with zomato chat experience. When order get delayed or if any issue with restaurant regarding order, zomato help desk is useless. We have to depend on chat only. No call response received from zomato. Very poor service. After fighting so many times, in last order they gave me half of my total bill amount as coupons. They making fool. High charges as compared to swiggy. Finally shifted from zomato to swiggy.",1
"They are just there to show the menu of the hotel , they won't help you if your order is wrong or the quantity is less , they will just say you sorry for the inconvenience that's it ! It's better to order from the restaurant atleast they won't charge such high rate as delivery charges and if some problem occurred they will surely resolve it , instead of saying sorry for the inconvenience ! Great application for seeing the menu for sure 👍 but for ordering you have to think again 😉",1
"Zomato App keeps crashing after adding an item to the cart. This started a month back after some update and I am not able to order anything from Zomato. Check my last order. Already reinstalled multiple times, cleared data and even tried for downloading old versions through APK but couldn't install. Send reports were done but no response.",1
App is good. Working fine. Delivering food from very far restaurants also which is not there in Swiggy. It will be good if domino's also available. This is my first use and I didn't find domino's which is famous/popular in pizza and is less far than many other restaurants that Zomato tied up. All near by popular restaurants should be available. It's my opinion.,4
"You wont ever get refund in cash. And many a times the food is not packed well. Its totally useless if you think you would get any reliable refund. Their clock stops in between so that they don't have to pay you back for your late delivery. I have valid screenshot to prove it. My phone time is 9:45 and it shows 7mins away, then at 9:55pm also it shows 7mins away. This is their trick to fool customers to wait and not get the refund for late delivery.",1
I didn't had option to select no stars hence I selected 1 star. Absolutely poor customer care and hardly any response on time. Customer care executives are really careless and they just sent some useless and senseless replies even if you are showing them the proof.,1
"Food not delivered on time. It is not the fault of the delivery boy. It's the fault of the zomato app he was using. He was standing infront of me, but my name was not showing up in his app. I had to wait for 35 mins. Not expected from Zomato. Very Poor app service. 😡😡😡. But the delivery boy was very POLITE and HUMBLE. 5 star to the Delivery Boy SONU MANDAL. Good job Bro. Wish you a good luck.......",1
"I have been using zomato for a lot many years now. I used to have a lovely experience with zomato until quite recently. I have been observing an animosity from the delivery personnel towards me. Despite putting the exact address as the delivery location, the delivery guys get off at the wrong place and ask me to come to their location even if it several hundreds of meters away. When my male counterpart explained the location, he was quite cooperative. This is very sad.",1
Feeling very bad about not getting my problem resolved. Since last two days i am complaining about my problems and still not getting any solution. And i am surprised that query is very simple and visible.,1
The app is certainly not good at service. 1) They never have valets near the place I want to order from when their competitors definitely do. 2) If they do have it. They force you to add food when clearly there is no need for it. 3) They would never show reviews that they should. The one star reviews seem to gwt thrown away in a corner 4) its just way too easy to manipulate reviews on the app. For example. With amount of one star reviews my local mcdonalds the rating should have falln bt didnt,2
"Zomato delivery and customer service? Extremely bad. I would've given 0 stars if it was an option. Every time i have some issue with zomato(and it happens quite a lot due to their delivery service as they never follow the instructions even if you call them and explain it to them every time) i chat with their customer service which firstly, takes an hour to reply to every message i send, but after chatting to them for about 3-4 hours, they don't come up with any solution at all.",1
The rate of items I menu is high then what it is actually if you go the restaurant you know the rates. They increase the rates of items so the discount which is given is not real bcoz they already covered the discount by increasing the rates.,3
Not customer orientated food delivery app. Customer issue doesn't matter to zomato. No facility to talk to customer service agent. They are handling customer issue through chat and it looks like they are just passing issue through chat from ond to another. Not recommended. It will good till you get your service believe me once you have problem then you will realize to my word.,1
Excellent and quick resolution. The only food delivering app who cares for their customer's. On time delivery quick transaction and quick refund if any transaction is failed not like other delivery apps and also wrong item quality doesn't meet up. Very quick resolution with it. Boom very good. For now the app is the best out there. Finger's crossed,5
"Well , I am usually very specific and picky in rating and am highly surprised how quick and customer friendly zomato has been to me . I usually never ask for refunds because there is mostly never an issue with the food , but when I actually faced a highly disappointing situation from a restaurant they immediately refunded me the money . I am very positive and I hope people don't ever take an advantage of zomato's honest work. I am intrigued so thank you zomato . This review is from The Heart .",5
"A very big issue contacting the help of zomato. First of all these guys just dont have phone number to contact them. And the only option they give is a chat. Thats still okay, but my problem never got solved. The operator just sends the same pretyped messages to us and never solves the problem. At least you guys should have a phone number so we can talk to you guys this maintains a transperancy between the customer and you people.",1
"I have being using Zomato for more than two years. I have always wondered that in zomato serving restaurants, they have a seperate column for veg. I have a request for Zomato to keep a seperate column for chicken, then chicken lover's will be very happy about it. I hope this happens. I am happy using Zomato zing zing...",5
"Not even 1 Star. Disappointed too much. Don't waste your time with these people try any other apps. I ordered fome some food they showed will be delivered within 20 min , after 25 min when I saw they were saying no delivery person avilable(don't they know this before accepting order) and after around 45 min they showed me message if no delivery person gets in 5 min your order will be cancelled and refunded. Now my question is is that refund is enough, not any value for my 45 min. Disappointed",1
"The delivery experience is really bad from Zomato...order placed and it was supposed to get delivered in 35 mins...after one hour of wait Zomato sends a main ,that the order is cancelled due to the customer's not available for calls ..and literally the delivery executive didn't even come to the location ... Zomato customer support doesn't have the proper response at all ...I neither received the food delivery not the money refund ....worst and disappointing from Zomato",2
"There are no offers on the cards, no promotional coupons. These factors alone are discouraging to not order from this platform. At the time when going for an IPO, strong customer base and increased promotional activity is warranted. But i don't see any of these happening to me at least. As a customer all you want is that company is remembering you through promotional incentives, otherwise what incentive I've got for me to order food from this app?",2
Very bad these days. Being a pro customer I didn't expect this. Support exectives are just for name sake. Food delivery takes more time than expected and mostly because of valets coming not coming to pin location. There are instances where I had to collect the food more than a km away from marked location. And exectives just call to know if food delivered or not. Actually I feel like Zomato calls are just spam,1
One issue is that cash payment option is not available. This implies that one has to stay hungry if technical glitches happen(otp delay specifically). Kindly keep the cash payment option available for all restaurants. Another issue is their chat support section where the executive doesn't pay heed to a query and transfers the chat to a Bot stating 'I am transferring it to another agent who specialises in such queries' Is this professionalism? This impropriety shadows all other wonderful features,1
"Worst experience every time,when ever I try to order food on zomato app I'm excited and I'm waiting for the order but fortunately or unfortunately I every time experience only one thing that you deliver address is not correct or accurate.if you think it's not appropriate location firstly why do you ask restaurant to accept the order ,before the order is confirmed by the restaurant the count is deducted if your payment is by card after some time get a call saying we don't deliver to this address",1
"The app shows 50% off on a restaurant. But, when i add to cart, it doesn't show this & instead gives only 20%. Zomato charges higher amount than the restaurants do for delivery or dine in. zomato after claiming 50% discount upto 100rs., increases the tax or Packaging or delivery charges, and the final amount after discount vs before hardly has 30rs difference, which is crazy and looting customers. Zomato charges us Packing charges from the same restaurant who doesn't charge me when ordered via",1
"Initially it tent to give estonishing offers but gradually it started charging extra on price also even after availing membership which they claim is free delivery but I always been charged delivery charges....what is the use of availing membership.....for my nearby restaurant they charge high delivery charges for both pro member and regular user....No use of membership...also work on your offers it,s too high now a days...",2
"1* for app update. I uninstalled and reinstalled. As soon reinstalled app, the app is asking to update. Great development. How many times do u expect us to update app! Means am asking about frequency. This is an usability issue. Correct It. Ask monthly once or 3 month once update. Give a stable builds. Who the hell wanna update every week or just soon after installing app!",1
Hi I just created a new user on my new phone and I'm not able to apply any coupon. There's no coupon whatsoever. The coupon section is only disabled. I tried to chat with the customer service but that seems broken too. I'll change my rating but please fix this bug asap.,1
Zomato chat isn't working from pe ast many days. Worst experience ever. They are not refunding my payment. Because I had to cancel the order. They can cancel the order as per their availability even after accepting it. But we can't cancel it. There are only two options cancel the order or not. We can't make changes in order. This is very wrong,1
Very poor app. On 26th March 2021 I ordered some food. The delivery boy could not deliver my order to my residence and they have initiated a refund of my order saying that my money will be credited to my account within 5-7 working days. But unfortunately till date the amount is not yet credited to my saving account from where i have made the payment via my debit card. Today is 13th April. Moreover they cant track that refund reference no. (RRN no. ) which they have initiated from their end.,1
"I was very disappointed with my last order. I ordered food at 8:28 pm for the guest at my place and at the time of delivery ie 9:15 pm. I got a call that food can't be provided .Please answer my these questions: 1. Why I was not informed timely,within 5-10 minutes? 2.When we cancal the food,we pay the full amount as compensation ,what compensation you do?",1
"Zomato's customer service is pathetic. Usually it doesn't happen but I got a wrong order today. The people on chat were not helpful at all, just wasted my 1 hour, they were taking 5-7 mintues to respond to every sentence. After wasting 1 hour on chat (and I even shared the images of the food) they tell me to speak with the restaurant and stopped responding on the chat. Why waste time when you're not going to resolve any thing ? Just ask to speak with the restaurant at the beginning!!!",1
"My suggestion for the people using this app to order food is, just have a quick call with the restaurant you are ordering your food from before making the payment through this app and ask the total amount of your order and compare it with the zomato's total amount. When i checked my order amount from resturant it was 392 and Zomato was charging 503 for the same order after applying 10%+15% discount. Fraudsters.",1
"Very bad experience!😤😤I have placed an order in the afternoon that time the hotel was available and I got a cashback of ₹85 I was very happy and I rated the zomato app 5/5 , but then now when I was trying to place my order again which I ordered at the afternoon now at night they are showing ""due to high demand we are not accepting any orders below ₹250 "" I am very upset and that's why I have rated the app 1/5",1
Straightforward app for food ordering with discounts and minimal wait time. Delivery person was helpful as it was my first time ordering. Overall a pleasant experience.,5
"I had put the correct delivery address for my order, but your app updated wrong address to the delivery man at 0100 hours, the delivery man was nice who gave me the order on the correct address, the apps support system is really the worst so far, your support agents ask the customer to be careful of thier own address at the time of placing for another order.",1
I take back the good stuff I said. Last night I had the worst experience. Never had this kind of experience with swiggy even. Had to wait 1 and a half hour for food from a restaurant just 2 km away on top of that customer service was talking back to me and saying no it's 4 km away. What does that matter. It shouldn't take this long. Also the delivery person could not even reach the location even after I constantly spoonfed the location details via phone. Had to walk to him and get my order.,1
For the restaurants that use their own valet. Please provide an option to cancel the order if its not delivered on time. Burger King is not responding to any of the calls and the order is already delayed by 15mins (apart from the 50mins waiting time which was specified during the order),1
This is the worst app in terms of customer support ( I am doctor) but still once I received a stale food and requested to order something else from some other restaurant and nothing was heard no-one in the company has the empathy that during lockdown when people are using there app they don't have resources to cook the food thus they are ordering it from outside and during this time if something goes wrong they should atleast understand that how that person will be able to manage.,1
Service is turning from bad to worse!!! Been using this only app for a while for food delivery. But from bad they are moving to worse. Initially they used to take responsibility for and issues. Now they wisely and shamelessly put all the blame on the restaurant. Only solution for any issue is refund !!! Onus is always thrown on the restaurant. They are heading in the same direction o Food Panda. I am switching to Swiggy or Uber Eats. Really cannot trust Zomato any more. 04/04/2021 Still worse !,1
Worst experience I had so far. I made an order and it got canceled after charging my card. Now the most amazing customer service representative was not able to help me for almost 2 and half hours. Yes I was speaking to them for that amount of time to come up with a solution but nothing happened. Never expected this to happen,1
"The app is not user friendly as it frequently asks for updating.No option of lodging complaints is there. On 13/04 while ordering food in the night, double payment was debited to my account. Till now no reversal took place. Even I am handicapped to raise my complaint to Zomato. The chat option is not working. So need to be addressed.",1
Customer services is not up to the mark and useless. Food orders are used to be ready at restaurant but delivery partner is not meeting requirements and food orders are getting delivered after 1-2 hours of estimated time in tasteless and spoiled conditions. I think they need to reduce their promotional budget and need to allocate on delivery channel part. Moreover they have to go long way as campare with others like Swiggy. Nothing improved even after delivery fee of Rs. 33/- per Order.,2
Selected food from Paradise menu and I was trying to select payment options and the payment went through without my confirmation. It happened twice and very fast. I noticed only one payment and cancelled it. The other payment went through and food was delivered. Also I was about to leave for some other place when I got this food parcel. I am still in schock and not happy as it did not give me an option to confirm the payment and my credit card was charged twice without OTP confirmation. Too bad,2
Cheats changed offers from 1+1 in gold to 25%..many bought it for 1+1..feel cheated Also surprisingly rates on zomatos menu is 10-20% more than what you see on zomato .. Check for yourself. Seems hotels have to give a cut to zomato Exg chi sezwan tandoor at centre point is 260 while it's listed as 290 on zomato plus they levy exorbitant delivery charges,1
"Total waste when it comes to gift.... Please remove the option to gift an item or send e-cards to the reciever if you cannot deliver it.. and customer support team always have same reply when we complaint... ""Please give us another chance to serve you better"". This cannot be taken lightly as this is happening 4th time with me. I am not going to recommend this app to anyone as Zomato cannot keep its promise to its customers... Totally disappointed",1
"wrost service from zomato always giving reasons there is no proper customer service, I planed to give 0 star but in play store starts from single star this one also it's worth for Zomato. I placed an ordered and I'm waiting from last one hour I tried to connect with restaurant their number is switched offffff........ worst services",1
"For some reason last few days, the App refuses to bring up Non veg menu items from different restaurants. Only veg comes up. This is happening to quite a few friends in different locations in Mumbai and in pune too. Helpline says send us an email and we will resolve in 48 hrs. Lol, so we find it easier to order from Swiggy who has no such restrictions.",2
"The customer service is absolutely pathetic. I honestly don't think they have ever resolved any issue. They just lie again and again. And even when the error is on their side and they delay your order, they will not cancel your order. Update- I will not waste my energy emailing you as I know first hand that you will do nothing about it once the communication is not public.",1
Food price showing in this app is different and if we go directly to the hotel there food price is different (more than 20bucks difference is there) what is the logic behind this and in addition there are delivery charges.. And if food quality is not good whom to give complaint.. You guys are not responding properly.,1
Adds extra expense for the restaurants. There is a huge difference in the bill the consumer receives online and the bill the delivery person has.... Not at all satisfied.,1
"Incredible Zomato services and apps, they are like our exclusive suport in this pandemic, God bless Zomato and their associate restraunts, who are like our only hep in this pandemic, Where relatives turned their face, Zomato is doing incredible service. Kudos!!",5
"The price of the items are comparatively high, than other food ordering apps, but after that it give you coupon to apply. So ultimately they are not giving is discount, they are just deducting the extra amount which they have kept on each food items.",3
"The delivery charges are way unreasonable. And then there are packing charges and other taxes. Zomato gives you discount of Rs.50/60 but will charge you like Rs.120+ in the name of other taxes and all.. I understand these are necessary to keep the service going, but please acknowledge the fact that these charges are wayyyy tooo unreasonable, way too high. It has become way too useless now. The quality is not upto the mark, quantity of food is like nothing and they don't even take any action.",1
"Zomato should ensure cooking instructions are followed or an option to correct this. There no return and correction mechanism, which is resulting in waste of our money and food . If too much spicy pepper and salt us put ,we have to throw the food. Today again, cooking instruction not followed , restaurant do not pick the phone. I would give 0 rating to zomato and pro if possible as pro support is waste of money. Swing can better manage the restaurants and ensure instructions are followed",1
Very poor. Lot of missing items while ordering. And the coupon codes provide doesn't work either. No refund too. They never care about customer satisfaction. Worst service,1
"I used to love this app, but now repeatedly our orders have been cancelled without informing us. Or the app says food is in the kitchen for over an hour and when we call the restaurant, they are not even preparing it.",1
They don't have customer care to lodge a complaint. They only have chat option so that they can escape from the complaints. When u don't have that much courtesy to talk then remove chat option as well. Such a bad help option. Where they don't refund full amount when they fail to deliver the order.,1
"Zomato has suddenly become quite expensive these days. This, despite, most of the orders being delivered in recent times due to Covid. So if you're going to add exuberant amount as delivery fee and then more for taxes, and pretend like you're giving some discount on it, please give me a break! Despite having contracts with restaurants to provide you food at little cost, are you trying to milk customers' lack of options as much as possible? Using Swiggy for many orders now.",2
Too much pricey . I had compared with Hotel actual rates. Zomoto charges minimum 30 to 50% higher rates compared to original prices. They fool u giving 50 to 100 bucks as offer. And If you are in luck your food will be delivered ( during lock down) you can't rely on.,1
Initially zomato started off well providing customers with good service and better offers. Now it has turned out to be a profit making chain. There is no more offers or discounts and the prices have gone up very much comparatively. I personally have felt the need to go to a resturant is better than haveto use this.,2
